GUID,ifc_type,material,quantity,unit,unit_price,line_total,trade_group,note
1hOSvn6df7F8_7GcBWlRGQ,IfcDoor,(exterior door),1,unit,1450.0,1450.0,Openings,
1hOSvn6df7F8_7GcBWlRH8,IfcDoor,(exterior door),1,unit,1450.0,1450.0,Openings,
1hOSvn6df7F8_7GcBWlS8Z,IfcDoor,(interior door),1,unit,260.0,260.0,Openings,
1hOSvn6df7F8_7GcBWlS9F,IfcDoor,(interior door),1,unit,260.0,260.0,Openings,
1hOSvn6df7F8_7GcBWlSFK,IfcDoor,(interior door),1,unit,260.0,260.0,Openings,
1hOSvn6df7F8_7GcBWlSDm,IfcDoor,(interior door),1,unit,260.0,260.0,Openings,
2OBrcmyk58NupXoVOHUuXp,IfcDoor,(interior door),1,unit,260.0,260.0,Openings,
2OBrcmyk58NupXoVOHUvVV,IfcDoor,(interior door),1,unit,260.0,260.0,Openings,
2OBrcmyk58NupXoVOHUvR4,IfcDoor,(interior door),1,unit,260.0,260.0,Openings,
2OBrcmyk58NupXoVOHUvPL,IfcDoor,(interior door),1,unit,260.0,260.0,Openings,
1s1jVhK8z0pgKYcr9jt781,IfcDoor,(exterior door),1,unit,1450.0,1450.0,Openings,
1s1jVhK8z0pgKYcr9jt7AB,IfcDoor,(exterior door),1,unit,1450.0,1450.0,Openings,
1aj$VJZFn2TxepZUBcKp$i,IfcDoor,(interior door),1,unit,260.0,260.0,Openings,
1aj$VJZFn2TxepZUBcKpac,IfcDoor,(interior door),1,unit,260.0,260.0,Openings,
1hOSvn6df7F8_7GcBWlR72,IfcWindow,(glazing),11.7007,m2,420.0,4914.29,Openings,
1hOSvn6df7F8_7GcBWlRBU,IfcWindow,(glazing),11.7007,m2,420.0,4914.29,Openings,
1hOSvn6df7F8_7GcBWlRLx,IfcWindow,(glazing),1.65,m2,420.0,693.0,Openings,
1hOSvn6df7F8_7GcBWlRRL,IfcWindow,(glazing),1.65,m2,420.0,693.0,Openings,
1hOSvn6df7F8_7GcBWlSXO,IfcWindow,(glazing),6.748,m2,420.0,2834.16,Openings,
1hOSvn6df7F8_7GcBWlSga,IfcWindow,(glazing),0.6216,m2,420.0,261.08,Openings,
1hOSvn6df7F8_7GcBWlSp1,IfcWindow,(glazing),0.6216,m2,420.0,261.08,Openings,
1hOSvn6df7F8_7GcBWlSnC,IfcWindow,(glazing),0.6216,m2,420.0,261.08,Openings,
1hOSvn6df7F8_7GcBWlS_W,IfcWindow,(glazing),6.748,m2,420.0,2834.16,Openings,
