GUID,ifc_type,material,quantity,unit,unit_price,line_total,trade_group,note
2N3oFtM8X6lO2dN1$77x1u,IfcDoor,(interior door),1,unit,260.0,260.0,Openings,
1h7qyFpbf0qggP_pQnt_zR,IfcDoor,(interior door),1,unit,260.0,260.0,Openings,
1h7qyFpbf0qggP_pQnt_rV,IfcDoor,(interior door),1,unit,260.0,260.0,Openings,
2N3oFtM8X6lO2dN1$77xDb,IfcDoor,(interior door),1,unit,260.0,260.0,Openings,
2N3oFtM8X6lO2dN1$77x0R,IfcDoor,(interior door),1,unit,260.0,260.0,Openings,
2N3oFtM8X6lO2dN1$77xRk,IfcDoor,(interior door),1,unit,260.0,260.0,Openings,
2N3oFtM8X6lO2dN1$77xkJ,IfcDoor,(interior door),1,unit,260.0,260.0,Openings,
1h7qyFpbf0qggP_pQnt_8l,IfcDoor,(interior door),1,unit,260.0,260.0,Openings,
2N3oFtM8X6lO2dN1$77x7o,IfcDoor,(interior door),1,unit,260.0,260.0,Openings,
3If4otxpvBjO9DSa$bK$uj,IfcDoor,(interior door),1,unit,260.0,260.0,Openings,
2N3oFtM8X6lO2dN1$77xei,IfcDoor,(interior door),1,unit,260.0,260.0,Openings,
2N3oFtM8X6lO2dN1$77x9N,IfcDoor,(interior door),1,unit,260.0,260.0,Openings,
2N3oFtM8X6lO2dN1$77xRF,IfcDoor,(interior door),1,unit,260.0,260.0,Openings,
2N3oFtM8X6lO2dN1$77xD6,IfcDoor,(interior door),1,unit,260.0,260.0,Openings,
2N3oFtM8X6lO2dN1$77xOj,IfcDoor,(interior door),1,unit,260.0,260.0,Openings,
1h7qyFpbf0qggP_pQnt_6x,IfcDoor,(interior door),1,unit,260.0,260.0,Openings,
2N3oFtM8X6lO2dN1$77xaz,IfcDoor,(interior door),1,unit,260.0,260.0,Openings,
1h7qyFpbf0qggP_pQnt_$4,IfcDoor,(interior door),1,unit,260.0,260.0,Openings,
1h7qyFpbf0qggP_pQnt_zc,IfcDoor,(interior door),1,unit,260.0,260.0,Openings,
1h7qyFpbf0qggP_pQnt_1e,IfcDoor,(interior door),1,unit,260.0,260.0,Openings,
